# Run complete. Total time: 01:20:33

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

NOTE: Current JVM experimentally supports Compiler Blackholes, and they are in use. Please exercise
extra caution when trusting the results, look into the generated code to check the benchmark still
works, and factor in a small probability of new VM bugs. Additionally, while comparisons between
different JVMs are already problematic, the performance difference caused by different Blackhole
modes can be very significant. Please make sure you use the consistent Blackhole mode for comparisons.

Benchmark                            (size)    (type)  Mode  Cnt   Score    Error  Units
ArraysSort.Float.testSort           1000000    RANDOM  avgt    4  92.155 ±  0.578  ms/op
ArraysSort.Float.testSort           1000000  REPEATED  avgt    4   5.366 ±  0.049  ms/op
ArraysSort.Float.testSort           1000000   STAGGER  avgt    4   6.777 ±  0.037  ms/op
ArraysSort.Float.testSort           1000000   SHUFFLE  avgt    4  31.352 ±  1.424  ms/op
ArraysSort.Int.testParallelSort         100    RANDOM  avgt    4   0.003 ±  0.001  ms/op
ArraysSort.Int.testParallelSort         100  REPEATED  avgt    4   0.001 ±  0.001  ms/op
ArraysSort.Int.testParallelSort         100   STAGGER  avgt    4   0.001 ±  0.001  ms/op
ArraysSort.Int.testParallelSort         100   SHUFFLE  avgt    4   0.002 ±  0.001  ms/op
ArraysSort.Int.testParallelSort        1000    RANDOM  avgt    4   0.044 ±  0.001  ms/op
ArraysSort.Int.testParallelSort        1000  REPEATED  avgt    4   0.005 ±  0.001  ms/op
ArraysSort.Int.testParallelSort        1000   STAGGER  avgt    4   0.005 ±  0.001  ms/op
ArraysSort.Int.testParallelSort        1000   SHUFFLE  avgt    4   0.022 ±  0.001  ms/op
ArraysSort.Int.testParallelSort       10000    RANDOM  avgt    4   0.381 ±  0.006  ms/op
ArraysSort.Int.testParallelSort       10000  REPEATED  avgt    4   0.054 ±  0.001  ms/op
ArraysSort.Int.testParallelSort       10000   STAGGER  avgt    4   0.048 ±  0.001  ms/op
ArraysSort.Int.testParallelSort       10000   SHUFFLE  avgt    4   0.200 ±  0.004  ms/op
ArraysSort.Int.testParallelSort      100000    RANDOM  avgt    4   2.745 ±  0.022  ms/op
ArraysSort.Int.testParallelSort      100000  REPEATED  avgt    4   0.463 ±  0.002  ms/op
ArraysSort.Int.testParallelSort      100000   STAGGER  avgt    4   0.403 ±  0.034  ms/op
ArraysSort.Int.testParallelSort      100000   SHUFFLE  avgt    4   1.179 ±  0.038  ms/op
ArraysSort.Int.testParallelSort     1000000    RANDOM  avgt    4  30.299 ±  0.251  ms/op
ArraysSort.Int.testParallelSort     1000000  REPEATED  avgt    4   2.647 ±  0.161  ms/op
ArraysSort.Int.testParallelSort     1000000   STAGGER  avgt    4   3.396 ±  0.033  ms/op
ArraysSort.Int.testParallelSort     1000000   SHUFFLE  avgt    4  10.313 ±  0.292  ms/op
ArraysSort.Int.testSort                 100    RANDOM  avgt    4   0.003 ±  0.001  ms/op
ArraysSort.Int.testSort                 100  REPEATED  avgt    4   0.001 ±  0.001  ms/op
ArraysSort.Int.testSort                 100   STAGGER  avgt    4   0.001 ±  0.001  ms/op
ArraysSort.Int.testSort                 100   SHUFFLE  avgt    4   0.002 ±  0.001  ms/op
ArraysSort.Int.testSort                1000    RANDOM  avgt    4   0.044 ±  0.001  ms/op
ArraysSort.Int.testSort                1000  REPEATED  avgt    4   0.005 ±  0.001  ms/op
ArraysSort.Int.testSort                1000   STAGGER  avgt    4   0.005 ±  0.001  ms/op
