--- Running JMH ---
ArraysSort: PARALLELISM = 3

...

# Run complete. Total time: 03:15:17

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

NOTE: Current JVM experimentally supports Compiler Blackholes, and they are in use. Please exercise
extra caution when trusting the results, look into the generated code to check the benchmark still
works, and factor in a small probability of new VM bugs. Additionally, while comparisons between
different JVMs are already problematic, the performance difference caused by different Blackhole
modes can be very significant. Please make sure you use the consistent Blackhole mode for comparisons.

Benchmark                            (size)    (type)  Mode  Cnt    Score    Error  Units
Main.Float.testParallelSort          100000    RANDOM  avgt    4    4,105 ±  0,066  ms/op
Main.Float.testParallelSort          100000  REPEATED  avgt    4    0,813 ±  0,007  ms/op
Main.Float.testParallelSort          100000   STAGGER  avgt    4    0,687 ±  0,011  ms/op
Main.Float.testParallelSort          100000   SHUFFLE  avgt    4    1,787 ±  0,047  ms/op
Main.Float.testParallelSort         1000000    RANDOM  avgt    4   41,818 ±  1,036  ms/op
Main.Float.testParallelSort         1000000  REPEATED  avgt    4    5,835 ±  0,153  ms/op
Main.Float.testParallelSort         1000000   STAGGER  avgt    4    5,473 ±  0,068  ms/op
Main.Float.testParallelSort         1000000   SHUFFLE  avgt    4   16,194 ±  0,171  ms/op

Main.Float.newSort                     1000    RANDOM  avgt    4    0,020 ±  0,001  ms/op
Main.Float.newSort                     1000  REPEATED  avgt    4    0,012 ±  0,001  ms/op
Main.Float.newSort                     1000   STAGGER  avgt    4    0,008 ±  0,001  ms/op
Main.Float.newSort                     1000   SHUFFLE  avgt    4    0,024 ±  0,001  ms/op
Main.Float.newSort                    10000    RANDOM  avgt    4    0,176 ±  0,001  ms/op
Main.Float.newSort                    10000  REPEATED  avgt    4    0,085 ±  0,001  ms/op
Main.Float.newSort                    10000   STAGGER  avgt    4    0,080 ±  0,001  ms/op
Main.Float.newSort                    10000   SHUFFLE  avgt    4    0,146 ±  0,001  ms/op
Main.Float.newSort                   100000    RANDOM  avgt    4    2,477 ±  0,012  ms/op
Main.Float.newSort                   100000  REPEATED  avgt    4    0,655 ±  0,005  ms/op
Main.Float.newSort                   100000   STAGGER  avgt    4    0,792 ±  0,015  ms/op
Main.Float.newSort                   100000   SHUFFLE  avgt    4    2,030 ±  0,039  ms/op
Main.Float.newSort                  1000000    RANDOM  avgt    4   24,789 ±  0,162  ms/op
Main.Float.newSort                  1000000  REPEATED  avgt    4    6,161 ±  0,023  ms/op
